donor_id,subregion,method,Endothelial cell,Cardiomyocyte cell,Myelocyte,Fibroblast,Lymphocyte,Smooth muscle cell,Neuron,Pericyte,Adipocyte
AdultHeart1_52Y,Left ventricle,snRNA,115,189,612,105,84,184,0,0,0
AdultHeart2_47Y,Left ventricle,snRNA,99,33,139,383,95,297,0,115,0
N6,Left atria,snRNA,438,369,32,77,36,166,0,83,0
N9,Left atria,snRNA,201,323,13,85,4,35,0,42,0
N8,Left atria,snRNA,103,117,6,31,7,13,0,22,0
N11,Left atria,snRNA,164,321,4,46,7,23,0,29,0
N7,Left atria,snRNA,28,204,2,10,3,9,0,11,0
N10,Left atria,snRNA,254,147,7,44,12,35,0,54,0
N3,Left ventricle,snRNA,39,648,2,0,5,18,0,4,0
N2,Left ventricle,snRNA,281,417,3,5,11,51,0,22,0
N5,Left ventricle,snRNA,237,409,10,16,11,59,0,46,0
N4,Left ventricle,snRNA,91,180,7,6,1,18,0,20,0
N12,Left atria,snRNA,21,324,9,47,7,11,0,3,0
N1,Left ventricle,snRNA,310,138,11,19,30,36,0,31,0
Hua2020 Donor1,Interatrial septum,snRNA,1145,1195,1019,2046,167,697,246,946,158
Hua2020 Donor1,Interventricular septum,snRNA,2655,6479,2703,7649,357,477,379,1980,10
Hua2020 Donor1,Left atria,snRNA,818,1280,788,1865,162,467,170,680,172
Hua2020 Donor1,Left ventricle,snRNA,4030,9518,2589,8206,404,787,332,2508,71
Hua2020 Donor1,Right atria,snRNA,1360,1577,777,2527,159,354,332,515,19
Hua2020 Donor1,Right ventricle,snRNA,1374,4441,838,4243,104,415,196,1024,74
Hua2020 Donor2,Interatrial septum,snRNA,1441,3324,667,4802,0,414,338,571,8
Hua2020 Donor2,Interventricular septum,snRNA,3803,13748,444,2451,0,388,156,2353,5
Hua2020 Donor2,Left atria,snRNA,776,2067,440,2414,0,240,232,906,24
Hua2020 Donor2,Left ventricle,snRNA,3720,17734,1087,4340,0,467,328,1889,12
Hua2020 Donor2,Right atria,snRNA,1637,3818,656,2995,0,913,298,779,123
Hua2020 Donor2,Right ventricle,snRNA,1601,8574,1194,3539,0,447,196,992,133
Tucker2020 1600,Left atria,snRNA,1236,3368,1388,3913,11,449,64,803,201
Tucker2020 1600,Right atria,snRNA,1819,3776,1376,7058,37,234,60,596,164
Tucker2020 1666,Left atria,snRNA,269,1115,1061,3474,14,154,28,198,195
Tucker2020 1666,Left ventricle,snRNA,3311,2831,1241,4197,69,15,154,2141,0
Tucker2020 1666,Right ventricle,snRNA,1748,1784,732,2343,11,7,52,476,111
Tucker2020 1681,Left atria,snRNA,990,4042,724,5109,81,450,87,1907,826
Tucker2020 1681,Left ventricle,snRNA,1309,8861,626,4302,3,232,128,1302,1
Tucker2020 1681,Right atria,snRNA,1749,8659,761,3756,2,243,176,542,1
Tucker2020 1702,Left atria,snRNA,358,6052,688,2809,89,488,16,332,1409
Tucker2020 1702,Left ventricle,snRNA,884,3658,97,383,9,6,3,38,7
Tucker2020 1702,Right atria,snRNA,2244,8165,332,3385,9,388,13,93,109
Tucker2020 1702,Right ventricle,snRNA,850,5005,369,2303,11,38,2,456,171
Tucker2020 1708,Left atria,snRNA,509,4021,512,4818,4,575,56,606,318
Tucker2020 1708,Left ventricle,snRNA,702,7076,643,1452,26,45,16,564,335
Tucker2020 1708,Right atria,snRNA,367,4616,757,4074,9,187,25,218,233
Tucker2020 1708,Right ventricle,snRNA,167,3620,208,440,4,156,4,98,2239
Tucker2020 1723,Left atria,snRNA,364,2009,743,6540,79,1264,80,789,522
Tucker2020 1723,Left ventricle,snRNA,1538,10580,1157,3453,443,55,135,2006,329
Tucker2020 1723,Right atria,snRNA,1994,3623,869,7627,194,456,272,1049,184
Tucker2020 1723,Right ventricle,snRNA,1376,5191,515,2055,36,38,42,694,490
Tucker2020 1221,Left ventricle,snRNA,90,2225,165,652,1,5,4,119,6
Tucker2020 1221,Right atria,snRNA,598,1658,422,2307,74,86,60,291,1
Tucker2020 1221,Right ventricle,snRNA,1107,7734,852,1559,6,12,12,553,491
Sarah2020_H5,Interventricular septum,snRNA,794,4496,92,742,73,415,114,1597,8
Sarah2020_H5,Left atria,snRNA,253,368,232,306,86,89,28,495,147
Sarah2020_H5,Left ventricle,snRNA,1262,9943,146,1212,333,619,181,3397,46
Sarah2020_H5,Right atria,snRNA,276,360,102,388,106,137,52,152,272
Sarah2020_H5,Right ventricle,snRNA,265,4437,28,208,21,163,33,1267,1
Sarah2020_H6,Interventricular septum,snRNA,233,2301,133,407,110,114,44,419,7
Sarah2020_H6,Left atria,snRNA,219,576,99,593,63,220,46,261,298
Sarah2020_H6,Left ventricle,snRNA,704,8770,155,924,173,419,181,2621,32
Sarah2020_H6,Right atria,snRNA,239,824,64,602,89,116,81,159,34
Sarah2020_H6,Right ventricle,snRNA,100,1387,104,164,143,111,10,284,81
Sarah2020_H3,Interventricular septum,snRNA,153,3001,40,428,17,148,36,1123,3
Sarah2020_H3,Left atria,snRNA,637,965,345,721,178,511,100,1705,373
Sarah2020_H3,Left ventricle,snRNA,1135,5050,177,1162,59,409,139,3245,4
Sarah2020_H3,Right atria,snRNA,238,427,325,234,407,85,29,386,31
Sarah2020_H3,Right ventricle,snRNA,390,2404,59,462,46,128,44,987,26
Sarah2020_H2,Interventricular septum,snRNA,248,809,88,92,66,67,13,880,0
Sarah2020_H2,Left atria,snRNA,302,257,274,500,660,254,99,480,129
Sarah2020_H2,Left ventricle,snRNA,1489,2947,295,909,179,505,78,2576,145
Sarah2020_H2,Right atria,snRNA,124,94,118,276,201,44,21,134,24
Sarah2020_H2,Right ventricle,snRNA,333,2130,94,661,405,128,47,1026,110
Sarah2020_H7,Interventricular septum,snRNA,117,1815,96,468,9,175,35,910,7
Sarah2020_H7,Left atria,snRNA,328,3271,187,607,206,406,83,1129,48
Sarah2020_H7,Left ventricle,snRNA,648,4327,338,595,149,399,56,2992,116
Sarah2020_H7,Right atria,snRNA,220,198,173,289,76,41,82,128,145
Sarah2020_H7,Right ventricle,snRNA,277,4965,244,767,86,301,55,1838,23
Sarah2020_H4,Interventricular septum,snRNA,278,3288,39,288,5,165,20,1143,6
Sarah2020_H4,Left atria,snRNA,215,342,162,357,219,196,83,617,76
Sarah2020_H4,Left ventricle,snRNA,778,4926,210,531,102,646,114,3838,0
Sarah2020_H4,Right atria,snRNA,298,258,151,353,204,253,93,396,20
Sarah2020_H4,Right ventricle,snRNA,220,1463,45,197,21,228,43,1084,0
Sarah2020_D1,Left atria,snRNA,52,404,22,355,0,10,31,148,6
Sarah2020_D1,Left ventricle,snRNA,799,5849,220,1569,59,98,23,1503,67
Sarah2020_D1,Right ventricle,snRNA,121,1840,124,799,15,6,14,385,13
Sarah2020_D2,Interventricular septum,snRNA,364,4575,78,840,14,55,27,738,3
Sarah2020_D2,Left atria,snRNA,835,1228,323,3982,182,110,97,1076,268
Sarah2020_D2,Left ventricle,snRNA,1409,5418,730,4460,169,154,122,2781,179
Sarah2020_D2,Right atria,snRNA,579,1214,163,1764,59,45,110,220,37
Sarah2020_D2,Right ventricle,snRNA,500,2595,130,1554,38,115,48,1222,24
H0015_apex,Left ventricle,snRNA,739,4900,114,738,72,263,91,1508,43
H0015_LA_new,Left atria,snRNA,253,368,229,306,94,89,28,495,147
H0015_LV,Left ventricle,snRNA,523,5043,173,474,268,356,90,1889,3
H0015_RA,Right atria,snRNA,276,360,101,388,108,137,52,152,272
H0015_RV,Right ventricle,snRNA,265,4437,40,208,25,163,33,1267,1
H0015_septum,Interventricular septum,snRNA,794,4496,144,742,76,415,114,1597,8
H0020_apex,Left ventricle,snRNA,142,1648,65,194,63,109,34,807,10
H0020_LA_new,Left atria,snRNA,219,576,102,593,70,220,46,261,298
H0020_LV,Left ventricle,snRNA,562,7122,192,730,117,310,147,1814,22
H0020_RA,Right atria,snRNA,239,824,65,602,89,116,81,159,34
H0020_RV,Right ventricle,snRNA,100,1387,151,164,146,111,10,284,81
H0020_septum,Interventricular septum,snRNA,233,2301,166,407,111,114,44,419,7
H0025_apex,Left ventricle,snRNA,117,1082,122,131,38,83,13,690,1
