donor_id,subregion,Endothelial cell,Cardiomyocyte cell,Myelocyte,Fibroblast,Lymphocyte,Smooth muscle cell,Neuron,Pericyte,Adipocyte
Hua2020 Donor1,Ventricle,8059,20438,6130,20098,865,1679,907,5512,155
Hua2020 Donor1,Atria,3323,4052,2584,6438,488,1518,748,2141,349
Hua2020 Donor2,Ventricle,9124,40056,2725,10330,0,1302,680,5234,150
Hua2020 Donor2,Atria,3854,9209,1763,10211,0,1567,868,2256,155
Tucker2020 1600,Atria,3055,7144,2764,10971,48,683,124,1399,365
Tucker2020 1666,Ventricle,5059,4615,1973,6540,80,22,206,2617,111
Tucker2020 1681,Atria,2739,12701,1485,8865,83,693,263,2449,827
Tucker2020 1702,Ventricle,1734,8663,466,2686,20,44,5,494,178
Tucker2020 1702,Atria,2602,14217,1020,6194,98,876,29,425,1518
Tucker2020 1708,Ventricle,869,10696,851,1892,30,201,20,662,2574
Tucker2020 1708,Atria,876,8637,1269,8892,13,762,81,824,551
Tucker2020 1723,Ventricle,2914,15771,1672,5508,479,93,177,2700,819
Tucker2020 1723,Atria,2358,5632,1612,14167,273,1720,352,1838,706
Tucker2020 1221,Ventricle,1197,9959,1017,2211,7,17,16,672,497
Sarah2020_H5,Atria,529,728,334,694,192,226,80,647,419
Sarah2020_H5,Ventricle,2321,18876,266,2162,427,1197,328,6261,55
Sarah2020_H6,Atria,458,1400,163,1195,152,336,127,420,332
Sarah2020_H6,Ventricle,1037,12458,392,1495,426,644,235,3324,120
Sarah2020_H3,Atria,875,1392,670,955,585,596,129,2091,404
Sarah2020_H3,Ventricle,1678,10455,276,2052,122,685,219,5355,33
Sarah2020_H3,Atria,875,1392,670,955,585,596,129,2091,404
Sarah2020_H3,Ventricle,1678,10455,276,2052,122,685,219,5355,33
Sarah2020_H2,Atria,426,351,392,776,861,298,120,614,153
Sarah2020_H2,Ventricle,2070,5886,477,1662,650,700,138,4482,255
Sarah2020_H7,Atria,911,1428,706,991,621,632,165,2127,440
Sarah2020_H7,Ventricle,5426,26796,1029,5766,894,2070,576,15192,321
Sarah2020_H4,Atria,251,378,198,393,255,232,119,653,112
Sarah2020_H4,Ventricle,1276,9677,294,1016,128,1039,177,6065,6
Sarah2020_D1,Ventricle,920,7689,344,2368,74,104,37,1888,80
Sarah2020_D2,Atria,871,1264,359,4018,218,146,133,1112,304
Sarah2020_D2,Ventricle,2273,12588,938,6854,221,324,197,4741,206
